"","decile","total_cnt","min_prob","max_prob","default_cnt","non_default_cnt"
"1","1",3105,0.131779274763544,0.346339443886344,20,3085
"2","2",3105,0.346387398479828,0.394728099385362,39,3066
"3","3",3104,0.394729915419314,0.427998676601853,45,3059
"4","4",3105,0.428015825337616,0.45594169342736,47,3058
"5","5",3104,0.455947316605413,0.481829244764437,50,3054
"6","6",3105,0.481833419953567,0.507693144984656,56,3049
"7","7",3105,0.507696887038845,0.535371580789822,68,3037
"8","8",3104,0.53537538791044,0.567544336607519,78,3026
"9","9",3105,0.567554013939877,0.611481206908223,94,3011
"10","10",3105,0.611495790761613,0.832155663694196,112,2993
